strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,25139,14861,59,195808,10946,100,0
Flat100,none,any,10,23544,14036,60,203120,9623,100,0
Flat100,none,any,15,21980,13209,60,205499,9430,100,0
Flat100,none,any,20,20477,12434,61,213232,8672,100,0
Flat100,none,any,25,18973,11652,61,223119,7976,100,0
Flat100,none,any,30,17540,10820,62,213997,7144,100,0
Flat100,none,any,35,16106,10038,62,212218,5549,100,0
Flat100,none,any,40,14737,9279,63,209764,5454,100,0
Flat100,none,any,45,13482,8576,64,205119,4130,100,0
Flat100,none,any,50,12223,7838,64,194480,4218,100,0
Flat100,none,any,75,6913,4632,67,137371,2705,100,0
Flat100,none,any,100,3640,2515,69,83132,1717,100,0
Flat100,none,any,125,1780,1272,71,47701,1387,100,0
Flat100,none,any,150,812,622,77,29693,701,100,0
Flat100,none,underdog,5,11173,5020,45,125202,9269,100,0
Flat100,none,underdog,10,10405,4726,45,129241,8148,100,0
Flat100,none,underdog,15,9656,4435,46,129955,8223,100,0
Flat100,none,underdog,20,8930,4145,46,132550,7696,100,0
Flat100,none,underdog,25,8246,3890,47,139212,6725,100,0
Flat100,none,underdog,30,7564,3590,47,133719,5418,100,0
Flat100,none,underdog,35,6889,3313,48,132523,4209,100,0
Flat100,none,underdog,40,6253,3049,49,129855,3612,100,0
Flat100,none,underdog,45,5683,2805,49,126030,2977,100,0
Flat100,none,underdog,50,5125,2566,50,119907,3217,100,0
Flat100,none,underdog,75,2791,1471,53,80291,1704,100,0
Flat100,none,underdog,100,1396,773,55,49137,1142,100,0
Flat100,none,underdog,125,663,383,58,27157,1095,100,0
Flat100,none,underdog,150,292,181,62,16469,504,100,0
Flat100,none,favorite,5,13017,9314,72,68266,5112,100,0
Flat100,none,favorite,10,12239,8810,72,71688,4468,100,0
Flat100,none,favorite,15,11477,8299,72,72717,4002,100,0
Flat100,none,favorite,20,10746,7832,73,76610,4005,100,0
Flat100,none,favorite,25,9995,7335,73,78523,4180,100,0
Flat100,none,favorite,30,9294,6834,74,75669,5132,100,0
Flat100,none,favorite,35,8586,6352,74,74273,4005,100,0
Flat100,none,favorite,40,7896,5877,74,73897,3888,100,0
Flat100,none,favorite,45,7261,5448,75,73671,2593,100,0
Flat100,none,favorite,50,6628,4990,75,70000,2844,100,0
Flat100,none,favorite,75,3855,2989,78,52709,2057,100,0
Flat100,none,favorite,100,2089,1637,78,30910,1909,100,0
Flat100,none,favorite,125,1042,835,80,18979,629,100,0
Flat100,none,favorite,150,490,419,86,13119,508,100,0
Flat100,4+4-,any,5,3723,2318,62,51044,1472,100,0
Flat100,4+4-,any,10,3703,2305,62,50769,1472,100,0
Flat100,4+4-,any,15,3683,2293,62,50508,1472,100,0
Flat100,4+4-,any,20,3646,2275,62,50805,1472,100,0
Flat100,4+4-,any,25,3586,2248,63,52162,1472,100,0
Flat100,4+4-,any,30,3506,2202,63,51905,1472,100,0
Flat100,4+4-,any,35,3386,2137,63,51625,1431,100,0
Flat100,4+4-,any,40,3233,2048,63,50583,1454,100,0
Flat100,4+4-,any,45,3063,1948,64,48648,1580,100,0
Flat100,4+4-,any,50,2833,1810,64,46810,1662,100,0
Flat100,4+4-,any,75,1545,1022,66,32715,1263,100,0
Flat100,4+4-,any,100,604,417,69,16022,1004,100,0
Flat100,4+4-,any,125,189,132,70,6238,807,100,0
Flat100,4+4-,any,150,44,34,77,2374,200,100,0
Flat100,4+4-,underdog,5,1651,806,49,34283,1784,100,0
Flat100,4+4-,underdog,10,1645,803,49,34141,1784,100,0
Flat100,4+4-,underdog,15,1636,798,49,33840,1784,100,0
Flat100,4+4-,underdog,20,1618,790,49,33671,1784,100,0
Flat100,4+4-,underdog,25,1584,782,49,35235,1797,100,0
Flat100,4+4-,underdog,30,1546,765,49,34930,1533,100,0
Flat100,4+4-,underdog,35,1491,749,50,35628,1533,100,0
Flat100,4+4-,underdog,40,1420,713,50,33830,1245,100,0
Flat100,4+4-,underdog,45,1344,673,50,31449,1427,100,0
Flat100,4+4-,underdog,50,1245,631,51,30853,2025,100,0
Flat100,4+4-,underdog,75,690,358,52,19382,1743,100,0
Flat100,4+4-,underdog,100,255,140,55,9611,500,100,0
Flat100,4+4-,underdog,125,78,46,59,4132,736,100,0
Flat100,4+4-,underdog,150,15,10,67,1687,200,100,0
Flat100,4+4-,favorite,5,1945,1445,74,17955,1452,100,0
Flat100,4+4-,favorite,10,1931,1435,74,17822,1452,100,0
Flat100,4+4-,favorite,15,1922,1429,74,17847,1452,100,0
Flat100,4+4-,favorite,20,1903,1419,75,18313,1452,100,0
Flat100,4+4-,favorite,25,1877,1400,75,18106,1417,100,0
Flat100,4+4-,favorite,30,1836,1372,75,18239,1417,100,0
Flat100,4+4-,favorite,35,1773,1325,75,17436,1467,100,0
Flat100,4+4-,favorite,40,1694,1274,75,18262,1392,100,0
Flat100,4+4-,favorite,45,1610,1217,76,18267,1248,100,0
Flat100,4+4-,favorite,50,1488,1126,76,17058,1219,100,0
Flat100,4+4-,favorite,75,806,633,79,13448,600,100,0
Flat100,4+4-,favorite,100,326,260,80,6535,556,100,0
Flat100,4+4-,favorite,125,103,81,79,2975,477,100,0
Flat100,4+4-,favorite,150,27,23,85,1700,300,100,0
Flat100,5+5-,any,5,1322,911,69,30221,721,100,0
Flat100,5+5-,any,10,1322,911,69,30221,721,100,0
Flat100,5+5-,any,15,1322,911,69,30221,721,100,0
Flat100,5+5-,any,20,1322,911,69,30221,721,100,0
Flat100,5+5-,any,25,1322,911,69,30221,721,100,0
Flat100,5+5-,any,30,1322,911,69,30221,721,100,0
Flat100,5+5-,any,35,1322,911,69,30221,721,100,0
Flat100,5+5-,any,40,1322,911,69,30221,721,100,0
